path,classification,reference_exists,generated_exists,duplicate_count,comparison_enabled,reason
JP/ShareCfg/activity_partyinvitation_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_random_award_item.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_random_award_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_ryza_furniture.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_ryza_item.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_ryza_recipe.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_ryza_recipe_circle.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_series_enemy.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_series_enemy_story.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_ship_create.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_shop_extra.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_shop_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_single_enemy.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_single_event.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_skirmish_event.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_sp_story.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_spring_couplets.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_task_permanent.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_template_headhunting.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_template_returnner.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_tolove_jigsaw.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_town_2.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_town_collection_2.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_town_level.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_town_work_level.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_town_work_level_2.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_vote.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_vote_virtual_ship_data.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_workbench_item.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/activity_workbench_recipe.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/aircraft_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/arena_data_rank.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/arena_data_shop.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/arena_data_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/attribute_info_by_type.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/auto_pilot_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/backyard_theme_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/bar_card.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/barrage_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/battle_attribute_range.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/battle_cost_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/battle_environment_behaviour_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/battle_nodes_cfg.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/battlepass_event_award.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/battlepass_event_pt.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/battlepass_task_group.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/beat_game_music.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/benefit_buff_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/black_friday_battlepass_event_award.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/black_friday_battlepass_event_pt.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/black_friday_battlepass_task_group.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/blackfriday_shop_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/box_data_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/bullet_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/card_affix.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/card_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/cartoon.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/challenge_rate_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/chapter_boom.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/chapter_capture.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/chapter_defense.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/chapter_group_refresh.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/chapter_model_fog.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/chapter_model_multistageboss.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/chapter_pop_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/chapter_setting.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/chapter_status_effect.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/chapter_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/chapter_template_loop.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/character_voice.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/character_voice_special.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child2_attr.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child2_benefit.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child2_benefit_list.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child2_chat.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child2_condition.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child2_data.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child2_ending.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child2_memory.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child2_minigame.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child2_node.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child2_plan.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child2_polaroid.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child2_resource.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child2_round.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child2_shop.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child2_site_character.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child2_site_display.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child2_site_event_group.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child2_site_normal.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child2_target.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child2_word.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child_attr.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child_buff.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child_data.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child_ending.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child_event.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child_event_special.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child_item.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child_memory.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child_performance.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child_plan.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child_polaroid.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child_resource.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child_shop.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child_shop_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child_site.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child_site_option.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child_site_option_branch.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child_target_set.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child_task.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/child_word.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/class_upgrade_group.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/class_upgrade_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/collection_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/commander_ability_group.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/commander_ability_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/commander_attribute_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/commander_data_create_material.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/commander_data_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/commander_home.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/commander_home_style.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/commander_level.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/commander_skill_effect_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/commander_skill_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/compose_data_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/constellation_challenge_month.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3_d_dolly.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_accompany.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_anim_extraitem.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_camera_anim_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_camera_photo_frame.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_camera_volume_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_camera_zone_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_clickable_item.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_collection_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_dance.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_dance_cucoloris.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_default_hidden_part.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_dialogue_group.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_dorm_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_favor.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_favor_trigger.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_furniture_slot_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_furniture_template.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_gift.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_graphic_setting.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_holylight.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_ik.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_ik_status.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_ik_timeline.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_ik_timeline_controller.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_ik_timeline_status.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_ik_touch.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_ik_touch_move.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_ins_chat_group.json,lua_derived,true,true,0,true,JP reference data
JP/ShareCfg/dorm3d_ins_chat_language.json,lua_derived,true,true,0,true,JP reference data
